Structure;Index;Name;Visible;Tagged;Visibility Locked;Color;Calculate Charges;Number of Atoms;Molecular Formula;Molecular Composition;Molecular Weight;Exact Mol. Weight;Net Formal Charge;SourceTag;Compound;# Confs.;Matching Features;Score;Best Match;Pharmacophore-Fit Score;Source Database;Active/Decoy;mol index;Pharmacophore fit Score;Mol. Index
;371;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;620611-78-1;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.1905;Model-1-1;46.19;DHC_full.ldb;unknown;;;
;372;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Abacopterin L;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.7824;Model-1-1;45.78;DHC_full.ldb;unknown;;;
;373;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Carambolaside E;122;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.9488;Model-1-1;46.95;DHC_full.ldb;unknown;;;
;374;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Ceratiolin (S);104;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;44.676;Model-1-1;44.68;DHC_full.ldb;unknown;;;
;375;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Cinnabarone (R);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.2815;Model-1-1;46.28;DHC_full.ldb;unknown;;;
;376;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Cinnabarone (S);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.5919;Model-1-1;46.59;DHC_full.ldb;unknown;;;
;377;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Cochinchinenin A;291;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.6276;Model-1-1;45.63;DHC_full.ldb;unknown;;;
;378;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Cochinchinenin (R);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.9178;Model-1-1;46.92;DHC_full.ldb;unknown;;;
;379;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Coatline A;380;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.3562;Model-1-1;45.36;DHC_full.ldb;unknown;;;
;380;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Carambolaside B;171;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;44.5829;Model-1-1;44.58;DHC_full.ldb;unknown;;;
