76015-53-7;CC(=CCC\C(=C/Cc1c(OC(=O)C)c(OC(=O)C)c(OC(=O)C)c(C(=O)CCc2ccc(OC(=O)C)cc2)c1OC(=O)C)\C)C
77129-43-2;COc1c(OC(=O)C)c(C(=O)CCc2ccccc2)c(OC(=O)C)c3CCC(C)(C)Oc13
77412-21-6;COc1ccc(C[C@@H](O)C(=O)c2ccc(OC)cc2O)cc1
7768-13-0;COc1ccc(CCC(=O)c2c(O)c([C@@H]3OC(CO)[C@@H](O)C(O)[C@H]3O)c(OC)cc2OC)cc1OC
850650-32-7;COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC3OC(CO)C(=O)C(O)C3O)c1
850650-33-8;COc1cc(O)c(C(=O)CCc2ccc(O)c(O)c2)c(O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3OC(=O)C)c1
850650-34-9;COc1c(O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)cc(cc1O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3O)C(=O)CCc4ccc(O)cc4
88126-55-0;O[C@H](Cc1ccc(O)cc1)C(=O)c2ccc(O)cc2O
920492-58-6;OC1COC(OCC2OC(Oc3cc(O)cc(O)c3C(=O)CCc4ccc(O)cc4)C(O)C(O)C2O)C(O)C1O
936135-02-3;OCC1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)cc3)[C@@H](O[C@H]4OC[C@H](O)C(O)[C@H]4O)C(O)[C@@H]1O
943029-47-8;CC1=C[C@@H]2[C@H](CC1)C(C)(C)Oc3c(O)ccc(CCC(=O)c4ccc(O)cc4O)c23
943029-48-9 (R);CC(=CCC[C@@]1(C)Oc2c(O)ccc(CCC(=O)c3ccc(O)cc3O)c2CC1O)C
943029-48-9 (S);CC(=CCCC1(C)Oc2c(O)ccc(CCC(=O)c3ccc(O)cc3O)c2CC1O)C
943029-49-0 (R);CC1(C)OC1\C=C\[C@]2(C)Oc3c(O)ccc(CCC(=O)c4ccc(O)cc4O)c3C=C2
